RepRapFirmware height map file v2 generated at 2022-06-07 18:03, min error -0.068, max error 0.043, mean -0.014, deviation 0.028
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,30.00,320.00,30.00,320.00,-1.00,72.49,72.49,5,5
 -0.031,  0.015, -0.023, -0.035, -0.030
 -0.040,  0.010,  0.001,  0.002, -0.013
 -0.050,  0.023, -0.023, -0.043, -0.045
 -0.068,  0.009, -0.015, -0.009, -0.048
 -0.019,  0.043,  0.030,  0.019, -0.023
